treat,age,educ,race,married,nodegree,re74,re75,re78,black,hispan,white,distance,weights,subclass
1,22,9,hispan,0,1,0,0,3595.894,0,1,0,0.2246342415700625,1,1
1,30,12,black,0,0,0,0,24909.45,1,0,0,0.6782438795380448,1,2
1,27,11,black,0,1,0,0,7506.146,1,0,0,0.7763240811575091,1,3
1,22,9,black,0,1,0,0,4056.494,1,0,0,0.699069903298201,1,4
1,32,11,black,0,1,0,0,8472.158,1,0,0,0.789723110101419,1,5
1,22,16,black,0,0,0,0,2164.022,1,0,0,0.7798382459029441,1,6
1,33,12,white,1,0,0,0,12418.07,0,0,1,0.04292461476282886,1,7
1,21,13,black,0,0,0,0,17094.64,1,0,0,0.6824440011586322,1,8
1,19,10,black,0,1,0,0,3228.503,1,0,0,0.7224903598163331,1,9
1,27,13,black,0,0,0,0,14581.86,1,0,0,0.7025956155434309,1,10
1,23,10,black,0,1,0,0,7693.4,1,0,0,0.7349641629311585,1,11
1,40,12,black,0,0,0,0,10804.32,1,0,0,0.7116648917101057,1,12
1,26,12,black,0,0,0,0,10747.35,1,0,0,0.6643198080096723,1,13
1,23,11,black,0,1,0,0,0,1,0,0,0.7651749202388259,1,14
1,41,14,white,0,0,0,0,5149.501,0,0,1,0.13901525209250784,1,15
1,38,9,white,0,1,0,0,6408.95,0,0,1,0.12238224341971922,1,16
1,18,10,black,0,1,0,0,11163.17,1,0,0,0.7193160111098151,1,17
1,25,11,black,0,1,0,0,9897.049,1,0,0,0.7707971302602822,1,18
1,27,10,hispan,0,1,0,0,11142.87,0,1,0,0.26920316360212293,1,19
1,25,11,black,1,1,0,0,1574.424,1,0,0,0.5940429932588438,1,20
1,25,12,black,0,0,0,0,3191.753,1,0,0,0.660792465529842,1,21
1,42,14,black,0,0,0,0,20505.93,1,0,0,0.7786215900687946,1,22
1,23,12,black,1,0,0,0,5911.551,1,0,0,0.4509483495607008,1,23
1,24,10,black,0,1,0,0,0,1,0,0,0.7380259937920476,1,24
1,19,9,white,0,1,0,0,13188.83,0,0,1,0.0936529636051863,1,25
1,18,8,hispan,1,1,0,0,2787.96,0,1,0,0.09150549533853726,1,26
1,25,11,black,1,1,0,0,0,1,0,0,0.5940429932588438,1,27
1,31,11,black,1,1,0,0,8087.487,1,0,0,0.6166532316275092,1,28
1,18,11,black,0,1,0,0,0,1,0,0,0.7507054454635902,1,29
1,25,12,black,0,0,0,0,2348.973,1,0,0,0.660792465529842,1,30
1,37,9,black,0,1,0,0,1067.506,1,0,0,0.7464048038597685,1,31
1,41,4,black,1,1,0,0,7284.986,1,0,0,0.37847865745948134,1,32
1,22,11,white,0,1,0,0,1048.432,0,0,1,0.1301219169013492,1,33
1,35,10,black,0,1,0,0,4666.236,1,0,0,0.7701718012954628,1,34
1,27,11,black,0,1,0,0,549.2984,1,0,0,0.7763240811575091,1,35
1,29,4,black,0,1,0,0,762.9146,1,0,0,0.5366287268477089,1,36
1,27,11,black,0,1,0,0,0,1,0,0,0.7763240811575091,1,37
1,23,7,white,0,1,0,0,0,0,0,1,0.07382733180955343,1,38
1,45,5,black,1,1,0,0,8546.715,1,0,0,0.432515467276165,1,39
1,29,13,black,0,0,0,0,7479.656,1,0,0,0.7091465896493573,1,40
1,27,9,black,0,1,0,0,0,1,0,0,0.7154001944010605,1,41
1,25,11,white,0,1,0,0,18783.35,0,0,1,0.13557377322215056,1,42
1,22,12,black,0,0,0,0,18678.08,1,0,0,0.6501040246527554,1,43
1,21,9,black,0,1,0,0,0,1,0,0,0.6957404745509468,1,44
1,40,11,black,0,1,0,0,23005.6,1,0,0,0.809917433897946,1,45
1,22,11,black,0,1,0,0,6456.697,1,0,0,0.7623282097547328,1,46
1,38,12,white,0,0,0,0,4941.849,0,0,1,0.10034129925933445,1,47
1,27,13,black,0,0,0,0,0,1,0,0,0.7025956155434309,1,48
1,38,11,black,0,1,0,0,0,1,0,0,0.8050120729757795,1,49
1,23,8,hispan,0,1,0,0,3881.284,0,1,0,0.20030468221678446,1,50
1,26,11,black,0,1,0,0,17230.96,1,0,0,0.773572533100363,1,51
1,21,12,white,0,0,0,0,8048.603,0,0,1,0.07859089296539468,1,52
1,25,8,black,0,1,0,0,0,1,0,0,0.6745631970731276,1,53
1,25,11,black,0,1,0,0,0,1,0,0,0.7707971302602822,1,54
1,44,11,black,0,1,0,0,0,1,0,0,0.8194435523186767,1,55
1,25,12,white,0,0,0,0,5587.503,0,0,1,0.08328409463736298,1,56
1,25,10,black,0,1,0,0,0,1,0,0,0.7410649146518766,1,57
1,31,9,hispan,0,1,0,0,26817.6,0,1,0,0.25032724569673315,1,58
1,24,10,black,0,1,0,0,0,1,0,0,0.7380259937920476,1,59
1,26,10,black,0,1,0,0,9265.788,1,0,0,0.7440808077260052,1,60
1,25,11,black,0,1,0,0,485.2298,1,0,0,0.7707971302602822,1,61
1,43,9,black,0,1,0,0,0,1,0,0,0.7639017648392772,1,62
1,30,11,black,0,1,0,0,0,1,0,0,0.7844353107539713,1,63
1,26,10,black,1,1,2027.999,0,0,1,0,0,0.522387916289579,1,64
1,17,9,hispan,0,1,445.1704,74.34345,6210.67,0,1,0,0.20656996489350332,1,65
1,18,11,black,0,1,858.2543,214.5636,929.8839,1,0,0,0.741205427037324,1,66
1,27,12,black,1,0,3670.872,334.0493,0,1,0,0,0.4062810969502265,1,67
1,21,12,white,0,0,3670.872,334.0494,12558.02,0,0,1,0.0625452859798462,1,68
1,19,10,black,0,1,0,385.2741,8124.715,1,0,0,0.72659994857531085,1,69
1,23,12,black,0,0,5506.308,501.0741,671.3318,1,0,0,0.5663144245677113,1,70
1,29,14,black,0,0,0,679.6734,17814.98,1,0,0,0.7481699814729493,1,71
1,18,10,black,0,1,0,798.9079,9737.154,1,0,0,0.7278556501675203,1,72
1,19,9,black,0,1,0,798.9079,17685.18,1,0,0,0.6980944769043653,1,73
1,27,13,white,1,0,9381.566,853.7225,0,0,0,1,0.024951785013695674,1,74
1,18,11,white,0,1,3678.231,919.5579,4321.705,0,0,1,0.10175694228415813,1,75
1,27,9,black,1,1,0,934.4454,1773.423,1,0,0,0.534840349868149,1,76
1,22,12,black,0,0,5605.852,936.1773,0,1,0,0,0.5663961372523271,1,77
1,23,12,hispan,0,0,9385.74,1117.439,559.4432,0,1,0,0.11300425391066456,1,78
1,28,11,black,0,1,0,1284.079,60307.93,1,0,0,0.7906384927886011,1,79
1,24,11,black,1,1,824.3886,1666.113,4032.708,1,0,0,0.5974384600768663,1,80
1,31,9,black,0,1,0,1698.607,10363.27,1,0,0,0.7456700722863709,1,81
1,23,8,white,1,1,0,1713.15,4232.309,0,0,1,0.04275487449873249,1,82
1,18,10,black,0,1,2143.411,1784.274,11141.39,1,0,0,0.7073581278159483,1,83
1,29,12,black,0,0,10881.94,1817.284,0,1,0,0,0.5114964166191831,1,84
1,26,11,white,0,1,0,2226.266,13385.86,0,0,1,0.15215643893374362,1,85
1,25,12,black,0,0,14426.79,2409.274,0,1,0,0,0.44030795485705565,1,86
1,24,10,black,0,1,4250.402,2421.947,1660.508,1,0,0,0.7026812234096945,1,87
1,46,8,black,0,1,3165.658,2594.723,0,1,0,0,0.7254530062826674,1,88
1,31,12,white,0,0,0,2611.218,2484.549,0,0,1,0.10300088670863343,1,89
1,19,11,black,0,1,2305.026,2615.276,4146.603,1,0,0,0.7488494428698462,1,90
1,27,11,black,0,1,2206.94,2666.274,0,1,0,0,0.7735503052404922,1,91
1,28,10,black,0,1,0,2836.506,3196.571,1,0,0,0.7773765734887264,1,92
1,24,12,black,0,0,13765.75,2842.764,6167.681,1,0,0,0.4538632045970219,1,93
1,42,9,black,1,1,0,3058.531,1294.409,1,0,0,0.6200518959447593,1,94
1,25,13,black,0,0,12362.93,3090.732,0,1,0,0,0.5264635184873085,1,95
1,31,4,black,0,1,8517.589,4023.211,7382.549,1,0,0,0.4457133393249533,1,96
1,24,10,black,1,1,11703.2,4078.152,0,1,0,0,0.39689161578140264,1,97
1,29,10,black,0,1,0,4398.95,0,1,0,0,0.7940850513699517,1,98
1,19,10,white,0,1,0,5324.109,13829.62,0,0,1,0.13895882996033304,1,99
1,19,11,hispan,1,1,5424.485,5463.803,6788.463,0,1,0,0.130900194725972,1,100
1,21,9,black,0,1,6416.47,5749.331,743.6666,1,0,0,0.6623588941236576,1,101
1,26,12,black,1,0,8408.762,5794.831,1424.944,1,0,0,0.39094339312144605,1,102
1,20,9,hispan,0,1,12260.78,5875.049,1358.643,0,1,0,0.13747130888489612,1,103
1,19,10,black,0,1,4121.949,6056.754,0,1,0,0,0.7280399109404135,1,104
